Week,AI Worldwide
10/9/2022,27
10/16/2022,26
10/23/2022,25
10/30/2022,26
11/6/2022,26
11/13/2022,25
11/20/2022,28
11/27/2022,34
12/4/2022,49
12/11/2022,43
12/18/2022,38
12/25/2022,33
1/1/2023,38
1/8/2023,41
1/15/2023,42
1/22/2023,49
1/29/2023,52
2/5/2023,57
2/12/2023,55
2/19/2023,55
2/26/2023,54
3/5/2023,52
3/12/2023,58
3/19/2023,64
3/26/2023,71
4/2/2023,69
4/9/2023,73
4/16/2023,88
4/23/2023,87
4/30/2023,84
5/7/2023,89
5/14/2023,98
5/21/2023,89
5/28/2023,88
6/4/2023,94
6/11/2023,93
6/18/2023,90
6/25/2023,81
7/2/2023,87
7/9/2023,94
7/16/2023,93
7/23/2023,84
7/30/2023,82
8/6/2023,83
8/13/2023,83
8/20/2023,85
8/27/2023,85
9/3/2023,85
9/10/2023,86
9/17/2023,91
9/24/2023,92
10/1/2023,100
